author,affiliations
"Name(first='Javier', last='Osorio')",University of Arizona
"Name(first='Vito', last='D’Orazio')",West Virginia University
"Name(first='Ziyao', last='Xu')",Peking University
"Name(first='Houfeng', last='Wang')",Peking University
"Name(first='Haochen', last='Shi')",Unknown
"Name(first='Zhiyuan', last='Sun')",Unknown
"Name(first='Xingdi', last='Yuan')",Microsoft Research
"Name(first='Marc-Alexandre', last='Côté')",Microsoft
"Name(first='Bang', last='Liu')",University of Montreal
"Name(first='Ying', last='Shen')",Unknown; Sun Yat-Sen University
"Name(first='Zhiyang', last='Xu')",Unknown
"Name(first='Qifan', last='Wang')",Meta AI
"Name(first='Yu', last='Cheng')",The Chinese University of Hong Kong
"Name(first='Wenpeng', last='Yin')",Pennsylvania State University
"Name(first='Lifu', last='Huang')",Virginia Tech
"Name(first='Yiqing', last='Xie')",Unknown
"Name(first='Sheng', last='Zhang')",Microsoft
"Name(first='Hao', last='Cheng')",Unknown; Microsoft Research
"Name(first='Pengfei', last='Liu')",Unknown
"Name(first='Zelalem', last='Gero')","Research, Microsoft"
"Name(first='Cliff', last='Wong')","Research, Microsoft"
"Name(first='Tristan', last='Naumann')",Microsoft Research
"Name(first='Hoifung', last='Poon')",Microsoft
"Name(first='Carolyn', last='Rose')","School of Computer Science, Carnegie Mellon University"
"Name(first='Congying', last='Xia')",SalesForce.com
"Name(first='Chen', last='Xing')",SalesForce.com
"Name(first='Jiangshu', last='Du')",University of Illinois at Chicago
"Name(first='Xinyi', last='Yang')",Unknown; SalesForce Research
"Name(first='Yihao', last='Feng')",SalesForce Research
"Name(first='Ran', last='Xu')",SalesForce.com; Emory University; MeiTuan
"Name(first='Caiming', last='Xiong')",SalesForce Research
"Name(first='Young', last='Yoo')",Unknown
"Name(first='Jii', last='Cha')",Unknown
"Name(first='Changhyeon', last='Kim')",Unknown
"Name(first='Taeuk', last='Kim')",Hanyang University
"Name(first='Seonghoon', last='Lim')",Unknown
"Name(first='Taejun', last='Yun')",Unknown
"Name(first='Jinhyeon', last='Kim')",Unknown
"Name(first='Jihun', last='Choi')",Sony AI
"Name(first='Sreyan', last='Ghosh')",Unknown
"Name(first='Utkarsh', last='Tyagi')",Unknown
"Name(first='Sonal', last='Kumar')",Unknown
"Name(first='Chandra Kiran', last='Evuru')",Unknown
"Name(first='Ramaneswaran', last='S')",NVIDIA
"Name(first='S', last='Sakshi')",Unknown
"Name(first='Dinesh', last='Manocha')","University of Maryland, College Park"
"Name(first='Lucas', last='Bandarkar')","University of California, Los Angeles"
"Name(first='Davis', last='Liang')",Abridge
"Name(first='Benjamin', last='Muller')",Meta
"Name(first='Mikel', last='Artetxe')",Reka AI
"Name(first='Satya Narayan', last='Shukla')",Meta
"Name(first='Donald', last='Husa')",Unknown
"Name(first='Naman', last='Goyal')",Unknown
"Name(first='Abhinandan', last='Krishnan')",Unknown
"Name(first='Luke', last='Zettlemoyer')","University of Washington, Facebook and Meta; University of Washington"
"Name(first='Madian', last='Khabsa')",Facebook
"Name(first='Chenyang', last='An')",Unknown
"Name(first='Zhibo', last='Chen')",Carnegie Mellon University
"Name(first='Qihao', last='Ye')","University of California, San Diego"
"Name(first='Emily', last='First')","Computer Science and Engineering Department, University of California, San Diego"
"Name(first='Jiayun', last='Zhang')","University of California, San Diego"
"Name(first='Sorin', last='Lerner')","University of California, San Diego"
"Name(first='Saehyung', last='Lee')",Seoul National University
"Name(first='Sangwon', last='Yu')",Seoul National University
"Name(first='Junsung', last='Park')",Seoul National University
"Name(first='Jihun', last='Yi')",Unknown
"Name(first='Sungroh', last='Yoon')",Seoul National University
"Name(first='Inna', last='Lin')",University of Washington
"Name(first='Ashish', last='Sharma')",Unknown
"Name(first='Christopher', last='Rytting')",Unknown
"Name(first='Adam', last='Miner')",Unknown
"Name(first='Jina', last='Suh')","Research, Microsoft and Department of Computer Science, University of Washington"
"Name(first='Tim', last='Althoff')","Department of Computer Science, University of Washington"
"Name(first='Huawei', last='Lin')",Amazon and Rochester Institute of Technology
"Name(first='Jikai', last='Long')",Unknown
"Name(first='Zhaozhuo', last='Xu')",Stevens Institute of Technology
"Name(first='Weijie', last='Zhao')",Rochester Institute of Technology
"Name(first='Maxwell', last='Weinzierl')",University of Texas at Dallas
"Name(first='Sanda', last='Harabagiu')",University of Texas at Dallas
"Name(first='Jing Yu', last='Koh')",Carnegie Mellon University
"Name(first='Robert', last='Lo')",Unknown
"Name(first='Lawrence', last='Jang')",Unknown
"Name(first='Vikram', last='Duvvur')",Unknown
"Name(first='Ming', last='Lim')",Unknown
"Name(first='Po-Yu', last='Huang')",Unknown
"Name(first='Shuyan', last='Zhou')",Unknown
"Name(first='Russ', last='Salakhutdinov')","Carnegie-Mellon University, Carnegie Mellon University and Department of Computer Science"
"Name(first='Daniel', last='Fried')",Carnegie Mellon University
"Name(first='Jason', last='Cai')",Amazon
"Name(first='Daechul', last='Ahn')",Yonsei university
"Name(first='Yura', last='Choi')",Yonsei university
"Name(first='Youngjae', last='Yu')",Yonsei university
"Name(first='Dongyeop', last='Kang')",University of Minnesota
"Name(first='Jonghyun', last='Choi')",Seoul National University
"Name(first='Jingtao', last='Zhan')",Tsinghua University
"Name(first='Qingyao', last='Ai')",Tsinghua University
"Name(first='Yiqun', last='Liu')",Tsinghua University
"Name(first='Yingwei', last='Pan')",JD.com
"Name(first='Ting', last='Yao')",JD AI Research
"Name(first='Jiaxin', last='Mao')","Renmin University of China, Tsinghua University"
"Name(first='Shaoping', last='Ma')",Unknown
"Name(first='Tao', last='Mei')",JD Explore Academy
"Name(first='Masato', last='Mita')",CyberAgent Inc.
"Name(first='Soichiro', last='Murakami')","CyberAgent, Inc."
"Name(first='Akihiko', last='Kato')",Unknown
"Name(first='Peinan', last='Zhang')",CyberAgent AI Lab
"Name(first='Zhaowei', last='Wang')","Department of Computer Science and Engineering, Hong Kong University of Science and Technology; Department of Computer Science and Engineering, HKUST"
"Name(first='Qing', last='Zong')","Unknown; Department of Computer Science and Engineering, HKUST"
"Name(first='Hongming', last='Zhang')",Unknown
"Name(first='Sehyun', last='Choi')","Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
"Name(first='Tianqing', last='Fang')",Unknown
"Name(first='Ginny', last='Wong')",NVIDIA
"Name(first='Simon', last='See')",NVIDIA
"Name(first='Runlong', last='Zhou')","Department of Computer Science, University of Washington"
"Name(first='Simon', last='Du')",University of Washington
"Name(first='Beibin', last='Li')",Microsoft Research
"Name(first='Cheng', last='Yang')",Beijing University of Posts and Telecommunications; Unknown
"Name(first='Puli', last='Chen')",Unknown
"Name(first='Qingbao', last='Huang')",Guangxi University
"Name(first='Zhaorui', last='Yang')",Zhejiang University
"Name(first='Tianyu', last='Pang')",Sea AI Lab
"Name(first='Haozhe', last='Feng')","State Key Lab of CAD&CG, Zhejiang University"
"Name(first='Han', last='Wang')",Unknown; University of North Carolina at Chapel Hill
"Name(first='Wei', last='Chen')",Unknown
"Name(first='Minfeng', last='Zhu')",Zhejiang University
"Name(first='Qian', last='Liu')",Sea AI Lab; University of Auckland
"Name(first='Kun', last='Zhu')",Unknown
"Name(first='Xiaocheng', last='Feng')",Harbin Institute Of Technology
"Name(first='Xiyuan', last='Du')",Unknown
