author_id,author_name,affiliation,pqi_score,anci_score,accel_score,h_index,citations
3326601,Harsh Kohli,Unknown,1.12,0.06,0.0,3,25
3326677,Minnan Luo,Unknown,2.41,1.19,0.71,29,3460
3326688,Takefumi Yamazaki,Unknown,2.91,7.12,0.0,7,226
3327011,Weidong Bao,Unknown,0.78,0.22,0.0,16,1312
3327287,Oliver Hellwig,Unknown,2.75,7.78,0.0,9,285
3327291,Elisa Leonardelli,Unknown,1.66,4.15,1.62,9,446
3327459,Rabih Zbib,Unknown,2.99,14.11,0.44,12,1527
3327783,Christoph Gote,Unknown,2.17,0.58,0.0,6,86
33282601,Oscar Li,Carnegie Mellon University,2.44,1.84,0.0,7,2079
3328466,Enrico Mensa,Unknown,2.32,0.87,0.0,8,188
33285410,Xiaokui Xiao,Unknown,3.38,29.01,-0.5,65,16254
3328733,Luca Soldaini,Allen Institute for AI,2.12,1.51,1.55,22,2382
3329096,Subendhu Rongali,Unknown,1.94,1.0,-0.21,9,256
3329332,Kengo Kaneji,Unknown,1.91,0.33,0.0,3,17
3331141,Vinodkumar Prabhakaran,Unknown,2.48,4.27,-0.1,30,11273
3331521,Yuanjun Xiong,Amazon Web Services,2.47,1.43,0.0,31,17164
3331651,Huiyu Cai,Unknown,3.29,33.13,0.0,7,512
3332270,Beomsu Kim,Hyperconnect,1.93,2.57,1.29,11,893
3332275,P. Groote,Unknown,3.28,54.0,0.0,23,1744
3333257,Qiang Ning,Amazon Alexa AI,2.49,5.64,-0.15,24,2482
3333808,Sumitaka Sakauchi,Unknown,2.15,0.25,0.0,8,245
33340656,Gagan Bansal,Microsoft Research,1.73,2.18,0.14,18,2937
33341943,Ameet Deshpande,Unknown,1.6,6.1,3.06,8,687
33344744,Hongyuan Mei,Unknown,2.06,5.86,0.1,17,1849
3334541,Nikola Mrksic,Unknown,2.87,9.17,-0.26,28,5402
3335025,Zsolt Bitvai,Unknown,2.38,5.58,0.0,3,74
3335364,Dzmitry Bahdanau,Unknown,2.81,112.69,-0.1,29,68508
3335651,Aiwen Jiang,Unknown,2.37,0.8,0.0,10,452
3335836,Zhifang Sui,Unknown,2.21,2.17,2.26,37,7049
3335921,Charles Jankowski,Unknown,2.85,4.04,1.83,9,604
33363045,Chihiro Nakagawa,Unknown,0.9,0.0,0.0,8,262
3336431,Sukhdeep Sodhi,Unknown,1.63,0.0,0.0,6,161
3336495,Michael Kashket,Unknown,2.47,2.69,0.0,4,37
33366691,Jiahong Yuan,Unknown,1.95,2.41,-0.37,23,2426
3336726,Deqiang Jiang,Unknown,1.89,0.71,0.0,13,492
3336784,Kevin Kilgour,Unknown,1.85,0.89,0.0,16,1013
3336895,Johannes Bjerva,Aalborg University,2.07,2.54,-0.16,18,1240
3337238,Yining Zheng,Unknown,3.31,23.03,-0.59,2,306
3337309,Michael Mordowanec,Unknown,0.91,0.43,0.0,2,98
33374965,Anupam Datta,Unknown,2.34,0.82,-0.21,38,7073
3338131,Paul Buitelaar,Unknown,1.73,2.2,0.14,34,5620
3338169,Yu-Lun Hsieh,Unknown,2.65,3.56,-0.13,8,388
3338503,Nikos Tsourakis,Unknown,2.1,0.74,0.0,12,393
3338615,Timothy Tangherlini,Unknown,2.03,0.44,0.0,16,1195
33386728,Bo-Jhang Ho,Unknown,3.66,54.98,-0.27,10,1362
33392067,Animesh Mukherjee,IIT Kharagpur,2.08,1.22,0.0,32,4291
33396604,Nishant Sankaran,Unknown,0.8,0.38,0.41,10,271
3339690,Shreya Gautam,"Birla Institute of Technology, Mesra",2.61,1.55,2.46,2,51
3340019,Kanna Shimizu,Unknown,0.98,0.0,0.0,8,280
3340164,Wencan Luo,Unknown,2.33,2.33,-0.31,10,355
3340223,Jiaxin Mao,Unknown,2.13,0.35,0.0,15,885
3340602,Chun-Sung Ferng,Unknown,2.88,4.92,0.0,12,377
33407506,Kin Fung,Unknown,0.31,0.0,0.0,21,1303
33408121,Anthony Kroch,Unknown,2.04,0.6,0.0,25,3810
3341018,Zhe-nan Lin,Unknown,0.96,1.99,0.0,5,138
3341391,Matthew Schuerman,Unknown,2.71,2.87,-0.21,3,81
3341712,Rajeev Sangal,Unknown,2.63,4.76,0.0,22,1664
33420715,Yunqing Xia,Unknown,1.97,1.71,0.0,22,2914
3342374,Rezvaneh Rezapour,Unknown,1.2,0.37,0.26,10,421
33427918,Fandong Meng,Unknown,1.96,1.5,0.19,35,5223
33428484,Pavitra Krishnaswamy,Unknown,1.43,0.36,-0.31,15,1285
33432486,Mei Si,Unknown,1.98,0.27,0.26,15,965
33440662,Meghdad Farahmand,Unknown,2.74,4.32,0.0,5,132
3344220,Natalie Schluter,Unknown,2.27,4.33,0.26,13,644
3344531,Shuaiqi Liu,"Department of Computing, The Hong Kong Polytechnic University",1.73,1.41,1.0,8,213
3344806,Saeid Mokaram,Unknown,1.05,1.64,0.0,7,217
3345051,Sherri L. Condon,Unknown,2.19,0.38,0.0,11,555
3345119,Pradeep Murukannaiah,Unknown,2.08,0.66,0.0,16,666
33455006,Tengjiao Wang,Unknown,1.74,0.49,0.0,18,1558
33456794,Jiateng Liu,UIUC,0.94,0.81,0.0,5,288
3346041,Sean Massung,Unknown,1.75,0.91,0.0,6,314
3346172,Philip Beineke,Unknown,3.04,8.31,0.0,14,969
3346298,Hootan Nakhost,Unknown,1.66,6.59,3.96,15,1264
33463364,Albin Zehe,Unknown,1.39,0.27,0.0,10,251
3346402,Tanvir Sajed,Unknown,1.7,3.16,0.26,16,14332
33464127,Hu Xu,Unknown,2.75,16.7,-0.5,37,6049
3346862,Ankita Chadha,Unknown,0.64,0.29,0.0,3,37
3347568,Barbara Mellers,Unknown,2.27,0.44,0.0,57,11788
33481412,Pan Zhou,Unknown,2.78,3.63,0.0,43,7521
3348151,Gülşen Eryiğit,ITU Natural Languuage Processing Group,1.6,1.36,0.0,23,4343
3348286,Thanh-Le Ha,Karlsruhe Institute of Technology,1.85,0.89,0.0,16,1054
33488050,Larry R. Harris,Unknown,2.09,0.59,0.0,12,599
33490976,Paula Buttery,Unknown,1.49,0.81,0.59,17,1020
33494034,Nona Naderi,Université Paris-Saclay,2.57,3.33,0.26,15,819
3349496,Layla Asri,Unknown,1.63,10.25,1.0,18,1803
3350140,Umar Manzoor,Unknown,1.98,1.06,0.0,18,1048
3350168,Yafeng Ren,Unknown,2.01,3.98,0.0,31,2729
3350360,Fariz Darari,Unknown,2.17,1.5,0.0,10,274
3350632,Farah Benamara,Unknown,1.59,1.77,-0.13,27,2262
33506639,Xiao Xu,Harbin Institute of Technology,2.12,3.74,-0.25,9,495
