author_id,author_name,coauthor_average_h_index
1697494,Izhak Shafran,2.44
1697626,Jun Huang,2.1
1697737,Yi-Chia Wang,2.33
1697755,Timothy Hospedales,1.75
1697768,Kiwoong Park,2.33
1697879,A. Mensch,0.79
1697944,Lav Varshney,7.75
1698027,Debasis Ganguly,1.33
1698077,Michael Cysouw,4.5
1698138,Yang Zhang,0.71
1698205,Iadh Ounis,0.94
1698208,George Saon,1.75
1698363,Eiichiro Sumita,3.02
1698401,Karyn Moffatt,0.0
1698412,Yoram Bachrach,5.0
1698459,Heiner Stuckenschmidt,1.2
1698523,Ji Ma,4.6
1698559,Yi Yang,3.8
1698580,Minwoo Jeong,2.39
1698675,Bennamoun,0.8
1698689,Nebojsa Jojic,3.5
1698752,Kurt Mehlhorn,3.5
1698822,Miaomiao Wen,9.0
1698860,Zhongzhi Luan,4.25
1698982,Jiashi Feng,0.0
1699019,Sven Behnke,1.0
1699108,Gerald Tesauro,6.12
1699159,Dinesh Manocha,3.38
1699161,C. Lawrence Zitnick,5.38
1699175,Frederic Precioso,0.0
1699322,Venkatesh Saligrama,3.6
1699411,Andrea Esuli,0.8
1699545,Yejin Choi,6.06
1699600,Yevgeniy Vorobeychik,3.0
1699605,Bettina Speckmann,1.0
1699647,Ercan Solak,0.0
1699657,Allan Hanbury,1.11
1699819,Yongdong Zhang,2.75
1699909,Sang-Zoo Lee,2.0
1700007,Mona Diab,4.58
1700051,Nina Poerner,4.5
1700104,Vincent Labatut,1.0
1700187,Anders Søgaard,3.36
1700238,Stephan Peitz,1.82
1700325,Graham Neubig,4.04
1700431,Stanislau Semeniuta,4.5
1700522,Guoyin Wang,3.08
1700567,Shin’ichi Satoh,0.0
1700614,Prashanth Mannem,2.33
1700665,N. Lobo,1.0
1700736,Jinqiao Shi,2.6
1700754,Volker Tresp,4.67
1700777,Min Zhang,1.67
1700880,Zhi Jin,2.89
1700894,Albert Gatt,2.5
1700936,Von-wun Soo,0.5
1700980,Kevin Gimpel,6.23
1701132,Munindar Singh,0.5
1701341,James Hendler,3.5
1701353,Yoav Shoham,2.86
1701357,Katsiaryna Mirylenka,0.56
1701400,Gerald Gazdar,3.0
1701402,R. Wright,6.0
1701451,Ramesh Nallapati,3.84
1701461,Matthew Purver,1.33
1701478,Christophe Gravier,1.73
1701530,Meina Song,0.53
1701609,Zhixin Zhou,1.67
1701656,James McClelland,1.82
1701677,Sujay Sanghavi,0.0
1701686,Ilya Sutskever,0.48
1701688,Ho-fung Leung,1.18
1701734,Xavier Carreras,1.75
1701735,Igor Labutov,2.77
1701747,Zongcheng Ji,1.0
1701799,Mu Li,3.44
1701814,Enya Kong Tang,0.0
1701889,Tianyu Liu,4.44
1702030,Kathleen Carley,1.5
1702066,Kenneth Heafield,3.05
1702137,Silvio Savarese,3.55
1702139,Jure Leskovec,10.86
1702188,Kun He,6.67
1702196,Ye Thu,4.0
1702243,Helen Meng,3.42
1702254,Mani Srivastava,5.0
1702290,Weiran Wang,7.0
1702318,Kevin Murphy,1.0
1702354,Costin Iancu,0.0
1702392,Christos Faloutsos,2.84
1702447,Owen Rambow,2.52
1702456,Haiqin Yang,2.29
1702484,Tsuyoshi Murata,0.0
1702500,Wei-Cheng Chang,1.33
1702516,Guibin Zheng,0.0
1702629,Arzucan Özgür,0.88
1702695,Mohammad Javad Dousti,6.17
1702849,Nianwen Xue,2.59
1702853,Robert Kraut,8.67
1702915,Aurélien Bellet,1.33
1702974,Lucia Specia,2.77
1703046,Rebecca J. Passonneau,2.5
1703070,Alexander Gray,2.37
1703189,Pascal Frossard,0.0
1703328,Biqing Huang,5.75
1703337,Milad Shokouhi,3.24
1703465,Yuan Zhang,6.56
1703632,Antonis Bikakis,0.0
1703777,Benjamin Piwowarski,2.22
1703782,John Beaven,1.0
1703796,Amir Kantor,2.67
1703799,Sachindra Joshi,2.44
1703939,Kazunori Muraki,0.0
1703952,Zhanxing Zhu,6.5
1703978,Iftah Gamzu,3.5
1704133,Yulan He,2.65
1704149,Paul Clough,2.0
1704263,K. Ramamurthy,0.74
1704408,Koichi Shinoda,4.0
1704437,Jin-Woo Park,2.4
1704467,Alan Frisch,3.0
1704657,David Duvenaud,5.5
1704709,Vasudeva Varma,1.77
1704728,Tinne Tuytelaars,1.36
1704812,Hailin Shi,0.6
1704816,Amar Prakash Azad,1.67
1704849,Brigitte Grau,1.2
1705097,Fernando C. N. Pereira,5.67
1705156,Iyad Rahwan,2.83
1705260,Yizhong Wang,6.08
1705264,Katsuhide Fujita,1.0
1705268,Dimitris Achlioptas,1.0
1705434,Shikun Zhang,1.18
1705519,Akiko Aizawa,2.15
1705557,Katerina Fragkiadaki,1.0
1705574,Frank K. Soong,3.0
1705700,David Mimno,4.0
1705701,Ruhi Sarikaya,2.26
1705713,Hongxia Jin,2.42
1705742,Michelle Zhou,1.67
1705871,Yann Chevaleyre,1.0
1705919,Chuck Wooters,6.0
1705922,William Beaumont,2.0
1705929,Diba Mirza,4.35
1706104,Hung-yi Lee,1.97
1706210,Eelco Herder,1.0
1706223,Frans Coenen,0.67
1706272,Prasanna Sattigeri,0.48
1706307,Guozhou Zheng,3.32
1706323,Ahmed Khoumsi,0.33
1706370,Qiang Yang,2.17
1706506,Walid Maalej,0.0
1706574,Hao Li,7.5
1706595,Teruko Mitamura,3.29
1706670,Xiangjian He,0.67
1706729,Grace Ngai,5.0
1706809,Marc'Aurelio Ranzato,6.38
