researcher_id,first_name,last_name
~Junsung_Park1,Junsung,Park
~Jihun_Yi1,Jihun,Yi
~Sungroh_Yoon1,Sungroh,Yoon
~Lin1,Inna,Lin
~Ashish_Sharma1,Ashish,Sharma
,Christopher,Rytting
,Adam,Miner
~Jina_Suh1,Jina,Suh
~Tim_Althoff1,Tim,Althoff
~Huawei_Lin1,Huawei,Lin
~Jikai_Long1,Jikai,Long
~Zhaozhuo_Xu1,Zhaozhuo,Xu
~Weijie_Zhao1,Weijie,Zhao
~Maxwell_Weinzierl1,Maxwell,Weinzierl
~Sanda_Harabagiu1,Sanda,Harabagiu
,Jing Yu,Koh
~Robert_Lo1,Robert,Lo
~Lawrence_Jang1,Lawrence,Jang
~Vikram_Duvvur1,Vikram,Duvvur
,Ming,Lim
,Po-Yu,Huang
~Graham_Neubig1,Graham,Neubig
~Shuyan_Zhou1,Shuyan,Zhou
~Russ_Salakhutdinov1,Russ,Salakhutdinov
~Daniel_Fried1,Daniel,Fried
~Hwanjun_Song1,Hwanjun,Song
~Hang_Su1,Hang,Su
~Igor_Shalyminov1,Igor,Shalyminov
~Jason_Cai1,Jason,Cai
~Saab_Mansour1,Saab,Mansour
~Daechul_Ahn1,Daechul,Ahn
~Yura_Choi1,Yura,Choi
~Youngjae_Yu1,Youngjae,Yu
~dongyeop_kang1,Dongyeop,Kang
~Jonghyun_Choi1,Jonghyun,Choi
~Jingtao_Zhan1,Jingtao,Zhan
~Qingyao_Ai1,Qingyao,Ai
~Liu1,Yiqun,Liu
~Yingwei_Pan1,Yingwei,Pan
~Ting_Yao1,Ting,Yao
~Jiaxin_Mao1,Jiaxin,Mao
~Shaoping_Ma1,Shaoping,Ma
~Tao_Mei1,Tao,Mei
~Masato_Mita1,Masato,Mita
~Soichiro_Murakami1,Soichiro,Murakami
~Akihiko_Kato1,Akihiko,Kato
~Peinan_Zhang1,Peinan,Zhang
~Zhaowei_Wang1,Zhaowei,Wang
~Wei_Fan1,Wei,Fan
~qing_zong1,Qing,Zong
~Hongming_Zhang1,Hongming,Zhang
~Sehyun_Choi1,Sehyun,Choi
~Tianqing_Fang1,Tianqing,Fang
~Xin_Liu1,Xin,Liu
~Yangqiu_Song1,Yangqiu,Song
~Ginny_Wong1,Ginny,Wong
~Simon_See1,Simon,See
~Runlong_Zhou1,Runlong,Zhou
~Simon_Du1,Simon,Du
~Beibin_Li1,Beibin,Li
~Cheng_Yang1,Cheng,Yang
~Puli_Chen1,Puli,Chen
~Qingbao_Huang1,Qingbao,Huang
~Zhaorui_Yang1,Zhaorui,Yang
~Tianyu_Pang1,Tianyu,Pang
~Haozhe_Feng1,Haozhe,Feng
~Han_Wang1,Han,Wang
~Wei_Chen1,Wei,Chen
~Minfeng_Zhu1,Minfeng,Zhu
~Qian_Liu1,Qian,Liu
~Kun_Zhu1,Kun,Zhu
~Xiaocheng_Feng1,Xiaocheng,Feng
~Xiyuan_Du1,Xiyuan,Du
~Yuxuan_Gu1,Yuxuan,Gu
~Weijiang_Yu1,Weijiang,Yu
~Haotian_Wang1,Haotian,Wang
~Qianglong_Chen1,Qianglong,Chen
~Zheng_Chu1,Zheng,Chu
~Jingchang_Chen1,Jingchang,Chen
~Bing_Qin1,Bing,Qin
~Zhengping_Jiang1,Zhengping,Jiang
~Yining_Lu1,Yining,Lu
,Hanjie,Chen
~Daniel_Khashabi1,Daniel,Khashabi
,Benjamin,Van Durme
~Anqi_Liu1,Anqi,Liu
~Cheng_Qian1,Cheng,Qian
~Bingxiang_He1,Bingxiang,He
~Zhong_Zhuang1,Zhong,Zhuang
~Jia_Deng1,Jia,Deng
~Yujia_Qin1,Yujia,Qin
~Xin_Cong1,Xin,Cong
~Zhong_Zhang1,Zhong,Zhang
,Jie,Zhou
~Yankai_Lin1,Yankai,Lin
~Zhiyuan_Liu1,Zhiyuan,Liu
~Maosong_Sun1,Maosong,Sun
~Zeyuan_Wang1,Zeyuan,Wang
~Qiang_Zhang1,Qiang,Zhang
~Keyan_Ding1,Keyan,Ding
,Ming,Qin
,Xiang,Zhuang
,Xiaotong,Li
,Huajun,Chen
,Aparna,Elangovan
,Ling,Liu
,Lei,Xu
,Sravan Babu,Bodapati
,Dan,Roth
,Jingxuan,Tu
,Keer,Xu
,Liulu,Yue
,Bingyang,Ye
,Kyeongmin,Rim
,James,Pustejovsky
,Zheng,Chu
,Jingchang,Chen
,Qianglong,Chen
,Weijiang,Yu
,Tao,He
,Haotian,Wang
,Weihua,Peng
,Ming,Liu
,Bing,Qin
,Ting,Liu
,Zheng,Chu
,Jingchang,Chen
,Qianglong,Chen
,Weijiang,Yu
,Haotian,Wang
,Ming,Liu
,Bing,Qin
,Zheng,Chu
,Jingchang,Chen
,Qianglong,Chen
,Haotian,Wang
,Kun,Zhu
,Xiyuan,Du
,Weijiang,Yu
,Ming,Liu
,Bing,Qin
,Siyu,Yuan
,Jiangjie,Chen
,Changzhi,Sun
,Jiaqing,Liang
,Yanghua,Xiao
,Deqing,Yang
,Yujie,Feng
,Xu,Chu
,Yongxin,Xu
,Guangyuan,Shi
,Bo,Liu
,Xiao-Ming,Wu
,Damai,Dai
,Chengqi,Deng
,Chenggang,Zhao
,R.x.,Xu
,Huazuo,Gao
,Deli,Chen
,Jiashi,Li
,Wangding,Zeng
,Xingkai,Yu
,Y.,Wu
,Zhenda,Xie
,Y.k.,Li
,Panpan,Huang
,Fuli,Luo
,Chong,Ruan
,Zhifang,Sui
,Wenfeng,Liang
,Hongjin,Qian
,Zheng,Liu
,Kelong,Mao
,Yujia,Zhou
,Zhicheng,Dou
,Jiaxin,Bai
,Yicheng,Wang
,Tianshi,Zheng
,Yue,Guo
,Xin,Liu
,Yangqiu,Song
,Shizhe,Diao
,Pengcheng,Wang
,Yong,Lin
,Rui,Pan
,Xiang,Liu
,Tong,Zhang
,Xiangyu,Zhao
,Bo,Liu
,Qijiong,Liu
,Guangyuan,Shi
,Xiao-Ming,Wu
,Haochen,Li
,Xin,Zhou
,Zhiqi,Shen
,Naomi,Baes
,Nick,Haslam
,Ekaterina,Vylomova
,Jianheng,Huang
,Leyang,Cui
,Ante,Wang
,Chengyi,Yang
,Xinting,Liao
,Linfeng,Song
,Junfeng,Yao
~Su1,Jinsong,Su
,Baizhou,Huang
~ShuaiLu1,Shuai,Lu
~Wan1,Xiaojun,Wan
~Nan_Duan1,Nan,Duan
~weitao_li1,Weitao,Li
~Junkai_Li1,Junkai,Li
~Weizhi_Ma1,Weizhi,Ma
~Yang_Liu1,Yang,Liu
~Haoyang_Wen1,Haoyang,Wen
~Eduard_Hovy1,Eduard,Hovy
~Alexander_Hauptmann1,Alexander,Hauptmann
~Jiahao_Li1,Jiahao,Li
~Quan_Wang1,Quan,Wang
~Licheng_Zhang1,Licheng,Zhang
~Guoqing_Jin1,Guoqing,Jin
,Zhendong,Mao
~Yizhe_Zhang1,Yizhe,Zhang
~Jiarui_Lu1,Jiarui,Lu
~Navdeep_Jaitly1,Navdeep,Jaitly
~Shangqing_Tu1,Shangqing,Tu
~Yuliang_Sun1,Yuliang,Sun
~Yushi_Bai1,Yushi,Bai
~Jifan_Yu1,Jifan,Yu
~Lei_Hou1,Lei,Hou
~Li1,Juanzi,Li
~Yida_Zhao1,Yida,Zhao
~Chao_Lou1,Chao,Lou
~Kewei_Tu1,Kewei,Tu
~Zhengrui_Ma1,Zhengrui,Ma
~Qingkai_Fang1,Qingkai,Fang
~Shaolei_Zhang1,Shaolei,Zhang
~Shoutao_Guo1,Shoutao,Guo
~Yang_Feng1,Yang,Feng
~Min_Zhang1,Min,Zhang
~Zhenhua_Liu1,Zhenhua,Liu
~Tong_Zhu1,Tong,Zhu
~Chuanyuan_Tan1,Chuanyuan,Tan
~Bing_Liu1,Bing,Liu
~Haonan_Lu1,Haonan,Lu
~Wenliang_Chen1,Wenliang,Chen
~Zhihan_Zhang1,Zhihan,Zhang
~Yixin_Cao1,Yixin,Cao
~Chenchen_Ye1,Chenchen,Ye
~Yunshan_Ma1,Yunshan,Ma
~Lizi_Liao1,Lizi,Liao
~Tat-seng_Chua1,Tat-Seng,Chua
~Senyu_Han1,Senyu,Han
~Lu_Chen1,Lu,Chen
~Lin1,Li-Min,Lin
~Zhengshan_Xu1,Zhengshan,Xu
~Kai_Yu1,Kai,Yu
~Jiangxing_Wang1,Jiangxing,Wang
~Jiachen_Li1,Jiachen,Li
~Xiao_Han1,Xiao,Han
~Deheng_Ye1,Deheng,Ye
~Lu1,Zongqing,Lu
~Hiromasa_Sakurai1,Hiromasa,Sakurai
~Yusuke_Miyao1,Yusuke,Miyao
~Huiqiang_Jiang1,Huiqiang,Jiang
~Qianhui_Wu1,Qianhui,Wu
~Xufang_Luo1,Xufang,Luo
~Dongsheng_Li1,Dongsheng,Li
~Lin1,Chin-Yew,Lin
~Yuqing_Yang1,Yuqing,Yang
~Lili_Qiu1,Lili,Qiu
~Chuhao_Jin1,Chuhao,Jin
~Kening_Ren1,Kening,Ren
~Lingzhen_Kong1,Lingzhen,Kong
~Xiting_Wang1,Xiting,Wang
~Ruihua_Song1,Ruihua,Song
~Huan_Chen1,Huan,Chen
~Mengxi_Xiao1,Mengxi,Xiao
~Qianqian_Xie1,Qianqian,Xie
~Ziyan_Kuang1,Ziyan,Kuang
~Zhicheng_Liu1,Zhicheng,Liu
~Kailai_Yang1,Kailai,Yang
~Min_Peng1,Min,Peng
~Weiguang_Han1,Weiguang,Han
~Jimin_Huang1,Jimin,Huang
~Zirun_Guo1,Zirun,Guo
~Jin1,Tao,Jin
~Zhou_Zhao1,Zhou,Zhao
~Yan1,Bi-Cheng,Yan
~Li1,Jiun-Ting,Li
~Wang1,Yi-Cheng,Wang
~Wang1,Hsin Wei,Wang
,Tien-Hong,Lo
,Yung-Chang,Hsu
,Wei-Cheng,Chao
~Berlin_Chen1,Berlin,Chen
~Wei_Li1,Wei,Li
~Houfeng_Wang1,Houfeng,Wang
~Yongxin_Zhu1,Yongxin,Zhu
~Su1,Dan,Su
~Liqiang_He1,Liqiang,He
~Xu1,Linli,Xu
~Dong_Yu1,Dong,Yu
~Lichen_Zhang1,Lichen,Zhang
~Shuai_Lu1,Shuai,Lu
~Nan_Duan1,Nan,Duan
~Junlong_Li1,Junlong,Li
~Fan_Zhou1,Fan,Zhou
~Shichao_Sun1,Shichao,Sun
~Zhang1,Yikai,Zhang
~hai_zhao1,Hai,Zhao
~Pengfei_Liu1,Pengfei,Liu
~Tao_Sun1,Tao,Sun
~Linzheng_Chai1,Linzheng,Chai
~Jian_Yang1,Jian,Yang
~Yuwei_Yin1,Yuwei,Yin
~Hongcheng_Guo1,Hongcheng,Guo
~Jiaheng_Liu1,Jiaheng,Liu
~Bing_Wang1,Bing,Wang
~liqun_yang1,Liqun,Yang
~Zhoujun_Li1,Zhoujun,Li
,Xianming,Li
~Jing_Li1,Jing,Li
,Xintao,Wang
~Yunze_Xiao1,Yunze,Xiao
~Jen-tse_Huang1,Jen-tse,Huang
,Siyu,Yuan
~Rui_Xu1,Rui,Xu
~Haoran_Guo1,Haoran,Guo
,Quan,Tu
,Yaying,Fei
~Ziang_Leng1,Ziang,Leng
~Wei_Wang1,Wei,Wang
~Jiangjie_Chen1,Jiangjie,Chen
~Cheng_Li1,Cheng,Li
,Yanghua,Xiao
,Shengchao,Liu
,Xiaoming,Liu
,Yichen,Wang
,Zehua,Cheng
,Chengzhengxu,Li
,Zhaohan,Zhang
,Yu,Lan
,Chao,Shen
,Jingwei,Ni
,Minjing,Shi
,Dominik,Stammbach
,Mrinmaya,Sachan
,Elliott,Ash
,Markus,Leippold
,Tobias,Schimanski
,Jingwei,Ni
,Mathias,Kraus
,Elliott,Ash
,Markus,Leippold
,Shihan,Dou
,Enyu,Zhou
,Yan,Liu
,Songyang,Gao
,Wei,Shen
,Limao,Xiong
,Yuhao,Zhou
,Xiao,Wang
,Zhiheng,Xi
,Xiaoran,Fan
,Shiliang,Pu
,Jiang,Zhu
,Rui,Zheng
,Tao,Gui
,Qi,Zhang
,Xuanjing,Huang
,Xiaoying,Zhang
,Baolin,Peng
,Ye,Tian
,Jingyan,Zhou
,Lifeng,Jin
,Linfeng,Song
,Haitao,Mi
,Helen,Meng
,Zheng,Wang
,Shu,Teo
,Jieer,Ouyang
,Yongjun,Xu
,Wei,Shi
,Qian,Yang
,Jin,Xu
,Wenrui,Liu
,Yunfei,Chu
,Ziyue,Jiang
,Xiaohuan,Zhou
,Yichong,Leng
,Yuanjun,Lv
,Zhou,Zhao
,Chang,Zhou
,Jingren,Zhou
,Tom,Kocmi
,Vilém,Zouhar
,Christian,Federmann
,Matt,Post
,Yuanyi,Ren
,Haoran,Ye
,Hanjun,Fang
,Xin,Zhang
,Guojie,Song
,Ling,Hu
,Yuemei,Xu
,Jesus,Solano
,Mardhiyah,Sanni
,Oana-Maria,Camburu
,Pasquale,Minervini
,Wen,Wu
,Bo,Li
,Chao,Zhang
,Chung-Cheng,Chiu
,Qiujia,Li
,Junwen,Bai
,Tara,Sainath
,Phil,Woodland
,Jinyuan,Fang
,Zaiqiao,Meng
,Craig,Macdonald
,Yingji,Zhang
,Danilo,Carvalho
,Andre,Freitas
,Yan,Ma
,Yu,Qiao
,Pengfei,Liu
,Junfan,Chen
,Richong,Zhang
,Junchi,Chen
,Chunming,Hu
,Junjie,Ye
,Sixian,Li
,Guanyu,Li
,Caishuang,Huang
,Songyang,Gao
,Yilong,Wu
~Zhang1,Qi,Zhang
,Tao,Gui
,Xuanjing,Huang
,Mohammad Javad,Hosseini
,Andrey,Petrov
,Alex,Fabrikant
~Annie_Louis1,Annie,Louis
~Ting_Wu1,Ting,Wu
~Jingyi_Liu1,Jingyi,Liu
~Rui_Zheng1,Rui,Zheng
~Tao_Gui1,Tao,Gui
~Qi_Zhang1,Qi,Zhang
~Xuanjing_Huang1,Xuanjing,Huang
~Jiaqi_Zhao1,Jiaqi,Zhao
~Miao_Zhang1,Miao,Zhang
,Chao,Zeng
~Ming_Wang1,Ming,Wang
~Xuebo_Liu1,Xuebo,Liu
~Liqiang_Nie1,Liqiang,Nie
,Leon,Weber-Genzel
~Siyao_Peng1,Siyao,Peng
,Marie-Catherine,De Marneffe
~Barbara_Plank1,Barbara,Plank
~Xunjian_Yin1,Xunjian,Yin
~Xu_Zhang1,Xu,Zhang
~Jie_Ruan1,Jie,Ruan
~Xiaojun_Wan1,Xiaojun,Wan
~Soyoung_Yoon1,Soyoung,Yoon
~Eunbi_Choi1,Eunbi,Choi
~Jiyeon_Kim1,Jiyeon,Kim
~Hyeongu_Yun1,Hyeongu,Yun
~Yireun_Kim1,Yireun,Kim
~Seung-won_Hwang1,Seung-won,Hwang
~Guizhen_Chen1,Guizhen,Chen
~Liying_Cheng1,Liying,Cheng
,Anh Tuan,Luu
~Lidong_Bing1,Lidong,Bing
~Viktor_Moskvoretskii1,Viktor,Moskvoretskii
~Ekaterina_Neminova1,Ekaterina,Neminova
~Alina_Lobanova1,Alina,Lobanova
~Alexander_Panchenko1,Alexander,Panchenko
~Irina_Nikishina1,Irina,Nikishina
~Weiqi_Wang1,Weiqi,Wang
~Tianqing_Fang1,Tianqing,Fang
~Chunyang_Li1,Chunyang,Li
,Haochen,Shi
~Wenxuan_Ding1,Wenxuan,Ding
~Baixuan_Xu1,Baixuan,Xu
~Zhaowei_Wang1,Zhaowei,Wang
~Jiaxin_Bai1,Jiaxin,Bai
~Xin_Liu1,Xin,Liu
~Cheng_Jiayang1,Cheng,Jiayang
~Chunkit_Chan1,Chunkit,Chan
~Yangqiu_Song1,Yangqiu,Song
~Jitai_Hao1,Jitai,Hao
~weiwei_sun1,Weiwei,Sun
~Xin_Xin1,Xin,Xin
~Qi_Meng1,Qi,Meng
~Zhumin_Chen1,Zhumin,Chen
,Pengjie,Ren
~Zhaochun_Ren1,Zhaochun,Ren
~Arnav_Chavan1,Arnav,Chavan
~Nahush_Lele1,Nahush,Lele
~Deepak_Gupta1,Deepak,Gupta
~Zhangyue_Yin1,Zhangyue,Yin
~Qiushi_Sun1,Qiushi,Sun
~Qipeng_Guo1,Qipeng,Guo
~Zhiyuan_Zeng1,Zhiyuan,Zeng
~Xiaonan_Li1,Xiaonan,Li
,Junqi,Dai
~Qinyuan_Cheng1,Qinyuan,Cheng
~Xuanjing_Huang1,Xuanjing,Huang
~Xipeng_Qiu1,Xipeng,Qiu
~Junnan_Dong1,Junnan,Dong
~Qinggang_Zhang1,Qinggang,Zhang
~Huachi_Zhou1,Huachi,Zhou
~Daochen_Zha1,Daochen,Zha
~Pai_Zheng1,Pai,Zheng
~Xiao_Huang1,Xiao,Huang
~Peiyu_Liu1,Peiyu,Liu
,Ze-Feng,Gao
~Xin_Zhao1,Xin,Zhao
~Yipeng_Ma1,Yipeng,Ma
~Tao_Wang1,Tao,Wang
,Ji-Rong,Wen
,Seoyeon,Kim
,Kwangwook,Seo
~Hyungjoo_Chae1,Hyungjoo,Chae
~Jinyoung_Yeo1,Jinyoung,Yeo
~Dongha_Lee1,Dongha,Lee
~Yanyang_Li1,Yanyang,Li
~Shuo_Liang1,Shuo,Liang
~Michael_Lyu1,Michael,Lyu
~Liwei_Wang1,Liwei,Wang
~Yihong_Liu1,Yihong,Liu
~Chunlan_Ma1,Chunlan,Ma
~Haotian_Ye1,Haotian,Ye
~Hinrich_Schuetze1,Hinrich,Schuetze
~Vyas_Raina1,Vyas,Raina
~Samson_Tan1,Samson,Tan
~Volkan_Cevher1,Volkan,Cevher
~Aditya_Rawal1,Aditya,Rawal
~Sheng_Zha1,Sheng,Zha
~George_Karypis1,George,Karypis
~Yongsen_Zheng1,Yongsen,Zheng
~Ruilin_Xu1,Ruilin,Xu
~Ziliang_Chen1,Ziliang,Chen
~Guohua_Wang1,Guohua,Wang
~Mingjie_Qian1,Mingjie,Qian
~Jinghui_Qin1,Jinghui,Qin
~Liang_Lin1,Liang,Lin
